web-scraper-order,web-scraper-start-url,newpage,team,matchup,date,winloss,min,pts,fgm,fga,fgpercent,3pm,3pa,3ppercent,ftm,fta,ftpercent,oreb,dreb,reb,ast,stl,blk,tov,pfidk,plusminus
"1710880555-158","https://www.nba.com/stats/teams/boxscores","","MIA","MIA @ OKC","03/08/2024","L","240","100","38","82","46.3","11","29","37.9","13","18","72.2","7","36","43","24","6","5","11","16","-7"
"1710880555-159","https://www.nba.com/stats/teams/boxscores","","OKC","OKC vs. MIA","03/08/2024","W","240","107","42","89","47.2","12","38","31.6","11","13","84.6","9","36","45","28","5","8","9","16","7"
"1710880555-160","https://www.nba.com/stats/teams/boxscores","","NYK","NYK vs. ORL","03/08/2024","W","240","98","38","79","48.1","16","33","48.5","6","8","75.0","11","32","43","20","7","10","16","14","24"
"1710880555-161","https://www.nba.com/stats/teams/boxscores","","PHI","PHI vs. NOP","03/08/2024","L","240","95","35","88","39.8","9","37","24.3","16","20","80.0","13","29","42","21","8","7","12","19","-8"
"1710880555-162","https://www.nba.com/stats/teams/boxscores","","NOP","NOP @ PHI","03/08/2024","W","240","103","35","79","44.3","11","31","35.5","22","23","95.7","9","39","48","22","7","10","14","18","8"
"1710880555-163","https://www.nba.com/stats/teams/boxscores","","CHA","CHA @ WAS","03/08/2024","L","240","100","40","100","40.0","9","42","21.4","11","15","73.3","13","35","48","18","6","5","7","19","-12"
"1710880555-164","https://www.nba.com/stats/teams/boxscores","","WAS","WAS vs. CHA","03/08/2024","W","240","112","43","87","49.4","6","33","18.2","20","23","87.0","10","44","54","25","5","11","11","20","12"
"1710880555-165","https://www.nba.com/stats/teams/boxscores","","IND","IND vs. MIN","03/07/2024","L","240","111","42","82","51.2","10","26","38.5","17","23","73.9","7","32","39","26","5","10","15","24","-2"
"1710880555-166","https://www.nba.com/stats/teams/boxscores","","MIN","MIN @ IND","03/07/2024","W","240","113","46","98","46.9","7","25","28.0","14","19","73.7","13","35","48","23","9","6","11","20","2"
"1710880555-167","https://www.nba.com/stats/teams/boxscores","","MIA","MIA @ DAL","03/07/2024","L","240","108","40","82","48.8","17","38","44.7","11","17","64.7","2","35","37","30","7","2","12","20","-6"
